product_id,product_title,handle,status,productType,vendor,tags,product_createdAt,product_updatedAt,product_publishedAt,totalInventory,featuredImageUrl,variant_id,variant_title,sku,barcode,price,priceCurrency,compareAtPrice,compareAtPriceCurrency,inventoryQuantity,variant_createdAt,variant_updatedAt
gid://shopify/Product/8492311937195,Bowls | Primavera | Flores,bowls-primavera-flores,ACTIVE,,My Store,"Bowls,Flores,Negro,Primavera",2025-08-08T17:35:54Z,2025-08-09T01:38:25Z,2025-08-08T17:35:53Z,10,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/BOWLFLORES.jpg?v=1754692200,gid://shopify/ProductVariant/45501153771691,Negro,bowls-primavera-flores-Negro,,57500.00,COP,,COP,10,2025-08-08T17:35:54Z,2025-08-08T22:02:09Z
gid://shopify/Product/8492691226795,Ilustracion | Viajando | Biche,ilustracion-viajando-biche,ACTIVE,,My Store,"Biche,Ilustracion,Viajando",2025-08-08T21:56:48Z,2025-08-09T01:38:32Z,2025-08-08T21:56:44Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_86471393-fa15-4be0-8bea-e9b54428314d.png?v=1754690208,gid://shopify/ProductVariant/45502033461419,Default Title,ilustracion-viajando-biche-,,1230000.00,COP,,COP,1,2025-08-08T21:56:48Z,2025-08-08T21:56:48Z
gid://shopify/Product/8492691259563,Ilustracion | Viajando | Red Talks,ilustracion-viajando-red-talks,ACTIVE,,My Store,"Ilustracion,Red Talks,Viajando",2025-08-08T21:56:52Z,2025-08-09T01:38:32Z,2025-08-08T21:56:49Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_b052df17-26a9-48e6-aa1a-03f30cc33d45.jpg?v=1754690212,gid://shopify/ProductVariant/45502033494187,Default Title,ilustracion-viajando-red talks-,,750000.00,COP,,COP,0,2025-08-08T21:56:52Z,2025-08-08T21:56:52Z
gid://shopify/Product/8492691292331,Ilustracion | Viajando | I'm coming,ilustracion-viajando-im-coming,ACTIVE,,My Store,"I'm coming,Ilustracion,Viajando",2025-08-08T21:56:57Z,2025-08-09T01:38:32Z,2025-08-08T21:56:53Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_cf12c7a1-4a11-48d3-ade2-d90ed1959215.png?v=1754690217,gid://shopify/ProductVariant/45502033526955,Default Title,ilustracion-viajando-i'm coming-,,980000.00,COP,,COP,1,2025-08-08T21:56:57Z,2025-08-08T21:56:57Z
gid://shopify/Product/8492691325099,Ilustracion | Viajando | Him,ilustracion-viajando-him,ACTIVE,,My Store,"Him,Ilustracion,Viajando",2025-08-08T21:57:02Z,2025-08-09T01:38:32Z,2025-08-08T21:56:59Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_22837925-88da-4fc5-abbd-b26ebb21b78b.png?v=1754690222,gid://shopify/ProductVariant/45502033559723,Default Title,ilustracion-viajando-him-,,1344900.00,COP,,COP,1,2025-08-08T21:57:02Z,2025-08-08T21:57:02Z
gid://shopify/Product/8492691357867,Ilustracion | Viajando | Rebecca Y Pili - Amigas inseparables,ilustracion-viajando-rebecca-y-pili-amigas-inseparables,ACTIVE,,My Store,"Ilustracion,Rebecca Y Pili - Amigas inseparables,Viajando",2025-08-08T21:57:08Z,2025-08-09T01:38:32Z,2025-08-08T21:57:04Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_693313ea-4f50-4703-8252-88c87a998d18.png?v=1754690228,gid://shopify/ProductVariant/45502033592491,Default Title,ilustracion-viajando-rebecca y pili - amigas inseparables-,,1620000.00,COP,,COP,1,2025-08-08T21:57:08Z,2025-08-08T21:57:08Z
gid://shopify/Product/8492691456171,Ilustracion | Viajando | Japonesa en París,ilustracion-viajando-japonesa-en-paris,ACTIVE,,My Store,"Ilustracion,Japonesa en París,Viajando",2025-08-08T21:57:15Z,2025-08-09T01:38:32Z,2025-08-08T21:57:09Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_2b9f7c3f-a073-44a5-b509-ed501dae7081.png?v=1754690235,gid://shopify/ProductVariant/45502034247851,Default Title,ilustracion-viajando-japonesa en parís-,,1040000.00,COP,,COP,1,2025-08-08T21:57:15Z,2025-08-08T21:57:15Z
gid://shopify/Product/8492691521707,Ilustracion | Viajando | Flor,ilustracion-viajando-flor,ACTIVE,,My Store,"Flor,Ilustracion,Viajando",2025-08-08T21:57:20Z,2025-08-09T01:38:32Z,2025-08-08T21:57:16Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_d5729ed4-b63b-4385-ae6a-80b48830922e.png?v=1754690240,gid://shopify/ProductVariant/45502034477227,Default Title,ilustracion-viajando-flor-,,980000.00,COP,,COP,1,2025-08-08T21:57:20Z,2025-08-08T21:57:20Z
gid://shopify/Product/8492691554475,Ilustracion | Viajando | Shadow,ilustracion-viajando-shadow,ACTIVE,,My Store,"Ilustracion,Shadow,Viajando",2025-08-08T21:57:25Z,2025-08-09T01:38:32Z,2025-08-08T21:57:21Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_3590923c-fbc9-4ab7-a711-233a50822adb.png?v=1754690245,gid://shopify/ProductVariant/45502034509995,Default Title,ilustracion-viajando-shadow-,,1560000.00,COP,,COP,1,2025-08-08T21:57:25Z,2025-08-08T21:57:25Z
gid://shopify/Product/8492691587243,Ilustracion | Viajando | Little Star,ilustracion-viajando-little-star,ACTIVE,,My Store,"Ilustracion,Little Star,Viajando",2025-08-08T21:57:31Z,2025-08-09T01:38:32Z,2025-08-08T21:57:27Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_b70ee6b6-0b8b-482d-a35d-5688aa682f50.png?v=1754690252,gid://shopify/ProductVariant/45502034542763,Default Title,ilustracion-viajando-little star-,,750000.00,COP,,COP,0,2025-08-08T21:57:32Z,2025-08-08T21:57:32Z
gid://shopify/Product/8492691652779,Ilustracion | Viajando | Little Walk,ilustracion-viajando-little-walk,ACTIVE,,My Store,"Ilustracion,Little Walk,Viajando",2025-08-08T21:57:36Z,2025-08-09T01:38:33Z,2025-08-08T21:57:33Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_99375ee5-0757-40bb-a37d-397253bcbd7f.png?v=1754690257,gid://shopify/ProductVariant/45502034772139,Default Title,ilustracion-viajando-little walk-,,979900.00,COP,,COP,1,2025-08-08T21:57:37Z,2025-08-08T21:57:37Z
